account_number,client_name,open_date,first_name,middle_name,last_name,ssn,address_line_1,address_line_2,city,state,zipcode,record_type,match_code,match_score,consumer_id,consumer_type,notification_number,notice_type,case_number,chapter,original_chapter,date_filed,conversion_date,status,status_date,pd_ssn,pd_first_name,pd_middle_name,pd_last_name,pd_suffix,pd_aka,pd_aka2,pd_dba,pd_dba2,pd_address_line_1,pd_address_line_2,pd_city,pd_state,pd_zipcode,pd_phone,sd_ssn,sd_first_name,sd_middle_name,sd_last_name,sd_suffix,sd_aka,sd_aka2,sd_dba,sd_dba2,sd_address_line_1,sd_address_line_2,sd_city,sd_state,sd_zipcode,sd_phone,judge_name,prose_indicator,attorney_ssn,attorney_first_name,attorney_middle_name,attorney_last_name,attorney_suffix,attorney_aka,attorney_aka2,attorney_dba,attorney_dba2,attorney_address_line_1,attorney_address_line_2,attorney_city,attorney_state,attorney_zipcode,attorney_phone,creditor_meeting_time,creditor_address_line_1,creditor_address_line_2,creditor_city,creditor_state,creditor_zipcode,creditor_phone,trustee_name,trustee_address_line_1,trustee_address_line_2,trustee_city,trustee_state,trustee_zipcode,trustee_phone,court_id,court_district,court_address_line_1,court_address_line_2,court_city,court_state,court_zipcode,court_phone,confirmation_date,asset_indicator,before_open,sasf,active_status,disposition_text,poc_bar_date
1000001,DM,2010-01-01,Janet,R,Evans,877235902,2133 Main St,,Jacksonville,FL,33101,New,P2,91,CID-100000,Partnership,NOTIF-1000,Transfer,20-47925,11,11,2010-01-01,,Active,2010-01-01,867352565,Donald,K,Campbell,,,,,,2813 Birch Way,,Fayetteville,NC,27101,555-7893,,,,,,,,,,,,,,,,Hon. Jennifer Martin,N,805202708,Counselor,L,Lawyer,Esq,,,Attorney Pro,,"1568 Walnut Pl, Suite 200","1568 Walnut Pl, Suite 200",Syracuse,NY,14604,555-8474,10:00 AM,Federal Building,Rm 296,Fort Lauderdale,FL,33701,555-5066,Trustee David,438 Trustee Way,,St. Petersburg,FL,33101,555-5823,TXEB,Northern District,200 Court St,,St. Petersburg,FL,33701,555-4185,22-02-2010,N,N,Standard,Y,Case in Progress,2010-04-24
1000002,FD,2010-01-02,Thomas,B,Thomas,933512248,"7143 Birch Way, Apt 2","7143 Birch Way, Apt 2",Atlanta,GA,31901,New,P2,95,CID-100017,Corporate,NOTIF-1001,Dismissal,20-69923,11,11,2010-01-01,,Active,2010-01-02,789273480,Donald,A,Martin,,,,,,"5170 Walnut Pl, Apt 301","5170 Walnut Pl, Apt 301",Rockford,IL,60540,555-4610,,,,,,,,,,,,,,,,Hon. Michael Brown,N,746822183,Counselor,L,Lawyer,Esq,,,Attorney Pro,,"8623 Elm St, Apt 301","8623 Elm St, Apt 301",Atlanta,GA,31401,555-4997,10:00 AM,Federal Building,Rm 101,Savannah,GA,31901,555-2930,Trustee David,811 Trustee Way,,Macon,GA,31201,555-8113,MDD,Eastern District,200 Court St,,Macon,GA,30901,555-7655,16-04-2010,N,N,Complex,Y,Case Closed,2010-05-26
1000003,GECOM,2010-01-02,Mary,B,Roberts,510635261,"9486 Birch Way, Suite 200","9486 Birch Way, Suite 200",Scranton,PA,19101,Update,M1,97,CID-100034,Business,NOTIF-1002,Dismissal,20-98081,13,13,2010-01-01,,Closed,2010-01-02,966759262,Catherine,R,Phillips,,,,,,"5618 Oak Ave, Suite 200","5618 Oak Ave, Suite 200",Peoria,IL,60506,555-9871,,,,,,,,,,,,,,,,Hon. Patricia Evans,N,955002961,Counselor,L,Lawyer,Esq,,,Attorney Pro,,4554 Main St,,Houston,TX,75201,555-9339,10:00 AM,Federal Building,Rm 485,Pittsburgh,PA,19101,555-1106,Trustee Robert,714 Trustee Way,,Erie,PA,16501,555-2025,TXEB,Eastern District,200 Court St,,Erie,PA,19601,555-4310,09-02-2010,Y,N,Complex,N,Case Closed,2010-06-18
1000004,VP,2010-01-02,Robert,J,Miller,502858736,"8747 Main St, Apt 2","8747 Main St, Apt 2",Phoenix,AZ,85251,New,P3,90,CID-100051,Individual,NOTIF-1003,Dismissal,23-33224,13,13,2010-01-01,,Dismissed,2010-01-02,576004368,Janet,P,Edwards,,,,,,"2453 Main St, Apt 301","2453 Main St, Apt 301",Orlando,FL,33602,555-5425,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,573143850,Counselor,L,Lawyer,Esq,,,Legal Expert,,6501 Elm St,,Cleveland,OH,43604,555-5612,10:00 AM,Federal Building,Rm 310,Chandler,AZ,85201,555-3247,Trustee Patricia,119 Trustee Way,,Tempe,AZ,85001,555-9062,SDOH,Southern District,200 Court St,,Phoenix,AZ,85201,555-2094,05-03-2010,Y,N,Standard,N,Appealed,2010-04-09
1000005,DM,2010-01-03,Sarah,L,Hill,349229549,"1561 Elm St, Suite 200","1561 Elm St, Suite 200",Fort Lauderdale,FL,32801,Update,M3,92,CID-100068,Individual,NOTIF-1004,Dismissal,24-20374,7,11,2010-01-02,24-04-2010,Active,2010-01-03,747388120,Elizabeth,J,Allen,,,,,,1945 Cedar Ln,,Pittsburgh,PA,19601,555-6206,,,,,,,,,,,,,,,,Hon. Patricia Evans,N,686384137,Counselor,L,Lawyer,Esq,,,Law Partner,,"6260 Oak Ave, Suite 100","6260 Oak Ave, Suite 100",Aurora,IL,60601,555-6651,10:00 AM,Federal Building,Rm 441,St. Petersburg,FL,33602,555-6031,Trustee James,706 Trustee Way,,Miami,FL,32801,555-6292,TXEB,Western District,200 Court St,,Jacksonville,FL,33602,555-9360,,Y,N,Complex,Y,Case in Progress,2010-05-27
1000006,FD,2010-01-04,Thomas,J,Garcia,585050672,3456 Maple Dr,,Sacramento,CA,95814,New,M2,94,CID-100085,Trust,NOTIF-1005,Dismissal,24-32323,11,7,2010-01-03,20-04-2010,Converted,2010-01-04,981149980,Rachel,S,White,,,,,,"1776 Cedar Ln, Suite 200","1776 Cedar Ln, Suite 200",Columbus,GA,30901,555-9947,,,,,,,,,,,,,,,,Hon. Michael Brown,N,627535636,Counselor,L,Lawyer,Esq,,,Law Partner,,3931 Birch Way,,Rockford,IL,62701,555-8175,10:00 AM,Federal Building,Rm 158,Oakland,CA,94101,555-9904,Trustee Patricia,518 Trustee Way,,Los Angeles,CA,92101,555-4750,SDOH,Eastern District,200 Court St,,Sacramento,CA,94601,555-9922,24-04-2010,N,N,Complex,N,Case in Progress,2010-05-31
1000007,GECOM,2010-01-05,Brian,J,Young,633074594,"3965 Birch Way, Apt 2","3965 Birch Way, Apt 2",New York,NY,14604,New,P1,97,CID-100102,Corporate,NOTIF-1006,Bankruptcy,21-33651,7,7,2010-01-03,,Pending,2010-01-05,823576406,Elizabeth,M,Young,,,,,,6097 Main St,,St. Petersburg,FL,32202,555-2718,,,,,,,,,,,,,,,,Hon. Elizabeth Davis,N,261426901,Counselor,L,Lawyer,Esq,,,Counselor,,"2954 Oak Ave, Apt 2","2954 Oak Ave, Apt 2",Rochester,NY,13202,555-9566,10:00 AM,Federal Building,Rm 333,Syracuse,NY,10001,555-9753,Trustee James,340 Trustee Way,,Yonkers,NY,13202,555-9877,DEC,Eastern District,200 Court St,,Buffalo,NY,14202,555-1619,,N,N,Standard,N,Case in Progress,2010-06-19
1000008,VP,2010-01-05,Kevin,H,Carter,565092207,"9901 Maple Dr, Apt 2","9901 Maple Dr, Apt 2",Chandler,AZ,85201,Closed,P2,90,CID-100119,Trust,NOTIF-1007,Transfer,24-82553,7,13,2010-01-03,27-07-2010,Pending,2010-01-05,585184907,Kenneth,S,Adams,,,,,,"7601 Main St, Apt 301","7601 Main St, Apt 301",Columbus,OH,45202,555-3933,,,,,,,,,,,,,,,,Hon. James Wilson,N,531271977,Counselor,L,Lawyer,Esq,,,Legal Expert,,"7925 Cedar Ln, Apt 2","7925 Cedar Ln, Apt 2",New York,NY,13202,555-7397,10:00 AM,Federal Building,Rm 240,Glendale,AZ,85001,555-2040,Trustee Susan,606 Trustee Way,,Tempe,AZ,85281,555-9068,WDPA,Western District,200 Court St,,Tempe,AZ,85281,555-8151,,N,N,Complex,N,Case Closed,2010-04-19
1000009,DM,2010-01-06,Catherine,T,Harris,630328770,"725 Walnut Pl, Suite 200","725 Walnut Pl, Suite 200",Atlanta,GA,31901,Update,P3,87,CID-100136,SME,NOTIF-1008,Bankruptcy,22-13918,13,13,2010-01-05,,Pending,2010-01-06,911284047,Matthew,P,Evans,,,,,,"5537 Ash Ct, Apt 2","5537 Ash Ct, Apt 2",Houston,TX,77001,555-3751,,,,,,,,,,,,,,,,Hon. Elizabeth Davis,N,288878927,Counselor,L,Lawyer,Esq,,,Attorney Pro,,"4496 Maple Dr, Suite 100","4496 Maple Dr, Suite 100",Columbus,GA,31901,555-7136,10:00 AM,Federal Building,Rm 301,Augusta,GA,30901,555-6783,Trustee James,290 Trustee Way,,Athens,GA,30901,555-3180,DEC,Southern District,200 Court St,,Augusta,GA,30901,555-9948,18-04-2010,N,N,Standard,N,Appealed,2010-05-26
1000010,FD,2010-01-06,Joseph,M,Stewart,830712974,"5471 Elm St, Apt 2","5471 Elm St, Apt 2",Fort Lauderdale,FL,32202,Update,M3,92,CID-100153,Corporate,NOTIF-1009,Transfer,21-62907,13,13,2010-01-05,,Discharged,2010-01-06,338661057,Karen,S,Parker,,,,,,"6162 Oak Ave, Suite 100","6162 Oak Ave, Suite 100",Atlanta,GA,31201,555-7409,,,,,,,,,,,,,,,,Hon. Michael Brown,N,793444837,Counselor,L,Lawyer,Esq,,,Legal Expert,,4406 Birch Way,,Savannah,GA,30303,555-9502,10:00 AM,Federal Building,Rm 264,Jacksonville,FL,33602,555-5287,Trustee Linda,107 Trustee Way,,Orlando,FL,33602,555-2965,CAND,Eastern District,200 Court St,,Jacksonville,FL,33701,555-8933,25-02-2010,Y,N,Standard,N,Appealed,2010-06-18
